spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
900,Games of the XXI Olympiad,1977,Jean-Claude Labrecque & Jean Beaudin & Marcel Carrière & Georges Dufaux,100 Years of Olympic Films,games-of-the-xxi-olympiad-1977,446757,118,Documentary,Canada,fr,0.3972,4.8,6
900,White Rock,1977,Tony Maylam,100 Years of Olympic Films,white-rock-1977,379363,76,Documentary,United Kingdom,en,0.4812,5,6
900,Sapporo Winter Olympics,1972,Masahiro Shinoda,100 Years of Olympic Films,sapporo-winter-olympics-1972,444974,168,Documentary,Japan,ja,0.968,6.7,6
900,The Olympics in Mexico,1969,Alberto Isaac,100 Years of Olympic Films,the-olympics-in-mexico-1969,118881,160,Documentary,Mexico,es,0.4722,5.7,6
900,Snows of Grenoble,1968,Jacques Ertaud & Jean-Jacques Languepin,100 Years of Olympic Films,snows-of-grenoble-1968,471033,91,Documentary,France,fr,0.4838,5.6,7
900,13 Days in France,1968,Claude Lelouch & François Reichenbach,100 Years of Olympic Films,13-days-in-france-1968,268655,112,"Documentary, History",France,fr,0.7704,6,7
900,Sensation of the Century,1966,Hiroshi Maeda & Tatsuji Yamagishi,100 Years of Olympic Films,sensation-of-the-century-1966,471032,156,Documentary,Japan,ja,0.053,5,5
900,"IX Olympic Winter Games, Innsbruck 1964",1964,Theo Hörmann,100 Years of Olympic Films,ix-olympic-winter-games-innsbruck-1964-1964,471031,96,Documentary,Austria,de,0.383,5.2,6
900,The Grand Olympics,1961,Romolo Marcellini,100 Years of Olympic Films,the-grand-olympics-1961,149281,142,Documentary,Italy,it,0.6443,5.6,7
900,"People, Hopes, Medals",1960,Heribert Meisel,100 Years of Olympic Films,people-hopes-medals-1960,471022,93,Documentary,"United States of America, Germany",de,0.7077,4.6,5
900,The Horse in Focus,1956,Unknown,100 Years of Olympic Films,the-horse-in-focus-1956,471021,16,Documentary,Sweden,sv,0.0698,5.4,7
900,Alain Mimoun,1959,Louis Gueguen,100 Years of Olympic Films,alain-mimoun-1959,471020,24,Documentary,France,fr,0.2882,6.3,7
900,The Melbourne Rendezvous,1957,René Lucot,100 Years of Olympic Films,the-melbourne-rendezvous-1957,320284,106,Documentary,France,fr,0.3038,5,5
900,Olympic Games 1956,1956,Peter Whitchurch,100 Years of Olympic Films,olympic-games-1956-1956,471019,60,Documentary,Australia,en,0.0926,6.1,9
900,White Vertigo,1956,Giorgio Ferroni,100 Years of Olympic Films,white-vertigo-1956,471018,96,Documentary,Italy,it,0.2376,6,3
