spine,title,year,director,boxset,movie_id,imdb_rating,metascore
1152,Lost Highway,1997,David Lynch,Standalone Only,lost-highway-1997,7.6,53
1151,Sound of Metal,2019,Darius Marder,Standalone Only,sound-of-metal-2019,7.7,82
1150,Exotica,1994,Atom Egoyan,Standalone Only,exotica-1994,7,72
1149,Take Out,2004,Sean Baker & Shih-Ching Tsou,Standalone Only,take-out-2004,7.1,NA
1148,Kalpana,1948,Uday Shankar,Standalone Only,kalpana-1948,6.3,NA
1147,Two Girls on the Street,1939,Andre de Toth,Martin Scorsese's World Cinema Project No. 4,two-girls-on-the-street-1939,6.3,NA
1146,Muna Moto,1975,Jean-Pierre Dikongué Pipa,Martin Scorsese's World Cinema Project No. 4,muna-moto-1975,NA,NA
1145,Chess of the Wind,1976,Mohammad Reza Aslani,Martin Scorsese's World Cinema Project No. 4,chess-of-the-wind-1976,7.3,94
1144,Prisoners of the Land,1939,Mario Soffici,Martin Scorsese's World Cinema Project No. 4,prisoners-of-the-land-1939,NA,NA
1143,Sambizanga,1972,Sarah Maldoror,Martin Scorsese's World Cinema Project No. 4,sambizanga-1972,7,NA
1141,Faya Dayi,2021,Jessica Beshir,Standalone Only,faya-dayi-2021,6.8,81
1140,Buck and the Preacher,1972,Sidney Poitier,Standalone Only,buck-and-the-preacher-1972,6.6,65
1139,Hôtel du Nord,1938,Marcel Carné,Standalone Only,hôtel-du-nord-1938,7.5,NA
1138,Daddy Longlegs,2009,Josh Safdie & Benny Safdie,Standalone Only,daddy-longlegs-2009,6.9,74
1137,Frownland,2007,Ronald Bronstein,Standalone Only,frownland-2007,6.3,NA
1136,Drive My Car,2021,Ryusuke Hamaguchi,Standalone Only,drive-my-car-2021,7.5,91
1135,Devil in a Blue Dress,1995,Carl Franklin,Standalone Only,devil-in-a-blue-dress-1995,6.8,78
1134,Raging Bull,1980,Martin Scorsese,Standalone Only,raging-bull-1980,8.1,90
1133,Okja,2017,Bong Joon-ho,Standalone Only,okja-2017,7.3,75
1132,The Worst Person in the World,2021,Joachim Trier,Standalone Only,the-worst-person-in-the-world-2021,7.7,91
1131,Pink Flamingos,1972,John Waters,Standalone Only,pink-flamingos-1972,6,47
1130,Shaft,1971,Gordon Parks,Standalone Only,shaft-1971,6.6,66
1129,Rouge,1987,Stanley Kwan,Standalone Only,rouge-1987,7.3,NA
1128,Farewell Amor,2020,Ekwa Msangi,Standalone Only,farewell-amor-2020,6.9,75
1127,Mississippi Masala,1991,Mira Nair,Standalone Only,mississippi-masala-1991,6.8,78
1126,Double Indemnity,1944,Billy Wilder,Standalone Only,double-indemnity-1944,8.3,95
1125,The Funeral,1984,Juzo Itami,Standalone Only,the-funeral-1984,7.2,NA
1124,Chan Is Missing,1982,Wayne Wang,Standalone Only,chan-is-missing-1982,7.1,85
1123,Mr. Klein,1976,Joseph Losey,Standalone Only,mr-klein-1976,7.5,NA
1122,Round Midnight,1986,Bertrand Tavernier,Standalone Only,round-midnight-1986,7.4,NA
1121,Eyimofe (This Is My Desire),2020,Arie & Chuko,Standalone Only,eyimofe-this-is-my-desire-2020,7,89
1120,The Girl Can't Help It,1956,Frank Tashlin,Standalone Only,the-girl-cant-help-it-1956,6.8,NA
1119,Miracle in Milan,1951,Vittorio De Sica,Standalone Only,miracle-in-milan-1951,7.6,78
1118,The Last Waltz,1978,Martin Scorsese,Standalone Only,the-last-waltz-1978,8.1,84
1117,Love Jones,1997,Theodore Witcher,Standalone Only,love-jones-1997,7.3,65
1116,The Flight of the Phoenix,1965,Robert Aldrich,Standalone Only,the-flight-of-the-phoenix-1965,7.5,NA
1115,Adoption,1975,Márta Mészáros,Standalone Only,adoption-1975,7.2,NA
1114,Love Affair,1939,Leo McCarey,Standalone Only,love-affair-1939,7.3,91
1113,Boat People,1982,Ann Hui,Standalone Only,boat-people-1982,7.6,NA
1112,Miller's Crossing,1990,Joel Coen & Ethan Coen,Standalone Only,millers-crossing-1990,7.7,66
1111,Dick Johnson Is Dead,2020,Kirsten Johnson,Standalone Only,dick-johnson-is-dead-2020,7.4,89
1110,The Piano,1993,Jane Campion,Standalone Only,the-piano-1993,7.5,89
1109,Time,2020,Garrett Bradley,Standalone Only,time-2020,6.8,91
1108,The Celebration,1998,Thomas Vinterberg,Standalone Only,the-celebration-1998,8,82
1107,The Learning Tree,1969,Gordon Parks,Standalone Only,the-learning-tree-1969,7.2,NA
1106,One Night in Miami...,2020,Regina King,Standalone Only,one-night-in-miami-2020,7.1,83
1105,Menace II Society,1993,Albert Hughes & Allen Hughes,Standalone Only,menace-ii-society-1993,7.5,76
1104,Citizen Kane,1941,Orson Welles,Standalone Only,citizen-kane-1941,8.2,100
1103,Once Upon a Time in China V,1994,Tsui Hark,Once Upon a Time in China: The Complete Films,once-upon-a-time-in-china-v-1994,5.9,NA
