movie_id,director
the-magnificent-ambersons-1942,Orson Welles
true-stories-1986,David Byrne
some-like-it-hot-1959,Billy Wilder
a-story-from-chikamatsu-1954,Kenji Mizoguchi
the-princess-bride-1987,Rob Reiner
shampoo-1975,Hal Ashby
eight-hours-dont-make-a-day-1972,Rainer Werner Fassbinder
a-raisin-in-the-sun-1961,Daniel Petrie
cold-water-1994,Olivier Assayas
memories-of-underdevelopment-1968,Tomás Gutiérrez Alea
the-tree-of-life-2011,Terrence Malick
smithereens-1982,Susan Seidelman
the-ballad-of-gregorio-cortez-1982,Robert M. Young
a-matter-of-life-and-death-1946,Michael Powell
a-matter-of-life-and-death-1946,Emeric Pressburger
sex-lies-and-videotape-1989,Steven Soderbergh
dragon-inn-1967,King Hu
bull-durham-1988,Ron Shelton
the-devil-is-a-woman-1935,Josef von Sternberg
blonde-venus-1932,Josef von Sternberg
shanghai-express-1932,Josef von Sternberg
dishonored-1931,Josef von Sternberg
morocco-1930,Josef von Sternberg
female-trouble-1974,John Waters
bowling-for-columbine-2002,Michael Moore
el-sur-1983,Victor Erice
manila-in-the-claws-of-light-1975,Lino Brocka
midnight-cowboy-1969,John Schlesinger
graduation-2016,Cristian Mungiu
beyond-the-hills-2012,Cristian Mungiu
the-other-side-of-hope-2017,Aki Kaurismäki
moonrise-1948,Frank Borzage
the-virgin-suicides-1999,Sofia Coppola
dead-man-1995,Jim Jarmusch
the-color-of-pomegranates-1969,Sergei Parajanov
the-awful-truth-1937,Leo McCarey
women-in-love-1969,Ken Russell
king-of-jazz-1930,John Murray Anderson
baal-1970,Volker Schlöndorff
the-age-of-innocence-1993,Martin Scorsese
an-actors-revenge-1963,Kon Ichikawa
the-hero-1966,Satyajit Ray
tom-jones-1963,Tony Richardson
night-of-the-living-dead-1968,George Romero
comradeship-1931,G.W. Pabst
westfront-1918-1930,G.W. Pabst
i-daniel-blake-2016,Ken Loach
the-breakfast-club-1985,John Hughes
election-1999,Alexander Payne
jabberwocky-1977,Terry Gilliam
desert-hearts-1985,Donna Deitch
the-philadelphia-story-1940,George Cukor
first-2012,Caroline Rowland
bud-greenspan-presents-vancouver-2010-stories-of-olympic-glory-2011,Nancy Beffa
the-everlasting-flame-2009,Gu Jun
bud-greenspans-torino-2006-stories-of-olympic-glory-2007,Bud Greenspan
bud-greenspans-athens-2004-stories-of-olympic-glory-2005,Bud Greenspan
salt-lake-city-2002-stories-of-olympic-glory-2003,Bud Greenspan
sydney-2000-stories-of-olympic-glory-2001,Bud Greenspan
olympic-glory-1999,Kieth Merrill
nagano-98-olympics-stories-of-honor-and-glory-1998,Bud Greenspan
atlantas-olympic-glory-1997,Bud Greenspan
lillehammer-94-16-days-of-glory-1994,Bud Greenspan
marathon-1993,Carlos Saura
one-light-one-world-1992,NA
beyond-all-barriers-1989,Lee Ji-won
hand-in-hand-1989,Im Kwon-taek
seoul-1988-1989,Lee Kwang-soo
