spine,title,year,boxset,runtime_min,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
502,Revanche,2008,Standalone,121,German,0.934,7.167,245,7.5,84,15451,revanche-2008
501,"Paris, Texas",1984,Standalone,145,English,5.7841,8.1,2173,8.1,81,655,paris-texas-1984
499,"Germany, Year Zero",1948,Roberto Rossellini's War Trilogy,74,Italian,1.3408,7.618,420,7.8,NA,8016,germany-year-zero-1948
498,Paisan,1946,Roberto Rossellini's War Trilogy,125,Italian,1.9318,7.5,346,7.6,NA,8429,paisan-1946
497,"Rome, Open City",1945,Roberto Rossellini's War Trilogy,104,Italian,1.6556,8.012,965,8,NA,307,rome-open-city-1945
496,Che: Part Two,2008,Standalone,135,English,3.6461,6.646,683,6.8,64,8880,che-part-two-2008
496,Che: Part One,2008,Standalone,134,English,3.8146,6.8,816,7.1,NA,8881,che-part-one-2008
495,Days of Wine and Roses,1958,The Golden Age of Television,80,English,0.6658,7,7,7.8,NA,365499,days-of-wine-and-roses-1958
495,The Comedian,1957,The Golden Age of Television,74,English,0.9491,9,1,7.9,NA,1091037,the-comedian-1957
495,Requiem for a Heavyweight,1956,The Golden Age of Television,73,English,0.9657,8,3,8.4,NA,760499,requiem-for-a-heavyweight-1956
495,Bang the Drum Slowly,1956,The Golden Age of Television,57,English,0.9687,6.3,9,7.3,NA,365498,bang-the-drum-slowly-1956
495,A Wind from the South,1955,The Golden Age of Television,50,English,1.3892,5.7,9,6.4,NA,406480,a-wind-from-the-south-1955
495,No Time for Sergeants,1955,The Golden Age of Television,50,English,0.4662,6.5,2,6.9,NA,406484,no-time-for-sergeants-1955
495,Patterns,1955,The Golden Age of Television,53,English,1.4902,7,1,7.8,NA,979959,patterns-1955
495,Marty,1953,The Golden Age of Television,51,English,0.6826,8,2,7.9,NA,409952,marty-1953
494,Downhill Racer,1969,Standalone,101,English,1.3376,5.9,103,6.3,89,33166,downhill-racer-1969
493,Gomorrah,2008,Standalone,137,Italian,1.4615,6.88,1283,7,87,8882,gomorrah-2008
492,A Christmas Tale,2008,Standalone,152,French,1.4229,6.772,171,7,84,8892,a-christmas-tale-2008
491,Z,1969,Standalone,122,French,2.0032,7.8,613,8.1,86,2721,z-1969
490,Wings of Desire,1987,Standalone,128,German,2.1996000000000002,7.76,1475,7.9,79,144,wings-of-desire-1987
489,Monsoon Wedding,2001,Standalone,114,Hindi,1.5282,6.8,216,7.3,77,480,monsoon-wedding-2001
488,Howards End,1992,Standalone,142,English,2.1061,7,590,7.4,88,8293,howards-end-1992
487,That Hamilton Woman,1941,Standalone,125,English,1.3488,7.105,86,7.2,NA,43798,that-hamilton-woman-1941
486,Homicide,1991,Standalone,102,English,1.3557,6.272,149,6.9,84,22828,homicide-1991
485,The Last Days of Disco,1998,Standalone,113,English,1.6457,6.3,210,6.7,76,16980,the-last-days-of-disco-1998
484,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,Standalone,202,French,1.1625,7.4,377,7.5,94,44012,jeanne-dielman-23-quai-du-commerce-1080-bruxelles-1975
483,Repulsion,1965,Standalone,105,English,3.1445,7.378,1086,7.6,91,11481,repulsion-1965
482,2 or 3 Things I Know About Her,1967,Standalone,87,French,0.823,6.216,213,6.5,NA,8074,2-or-3-things-i-know-about-her-1967
481,Made in U.S.A,1966,Standalone,85,French,0.6378,6.1,103,6.2,NA,29369,made-in-usa-1966
480,The Human Condition III: A Soldier's Prayer,1961,Standalone,190,Japanese,1.988,8.4,205,8.8,NA,34530,the-human-condition-iii-a-soldiers-prayer-1961
480,The Human Condition II: Road to Eternity,1959,Standalone,178,Japanese,2.4119,8.2,214,8.5,NA,34528,the-human-condition-ii-road-to-eternity-1959
480,The Human Condition I: No Greater Love,1959,Standalone,204,Japanese,2.6154,8.1,275,8.5,NA,31217,the-human-condition-i-no-greater-love-1959
479,My Dinner with Andre,1981,Standalone,112,English,3.3295,7.5,451,7.7,83,25468,my-dinner-with-andre-1981
478,Last Year at Marienbad,1961,Standalone,95,French,2.1018,7.444,539,7.6,NA,4024,last-year-at-marienbad-1961
477,Bergman Island,2006,Standalone,84,English,0.6314,7.5,17,7.7,NA,106194,bergman-island-2006
476,The Curious Case of Benjamin Button,2008,Standalone,166,English,7.6625,7.598,13573,7.8,70,4922,the-curious-case-of-benjamin-button-2008
475,The Friends of Eddie Coyle,1973,Standalone,102,English,0.8078,7.266,199,7.4,84,25680,the-friends-of-eddie-coyle-1973
474,Intentions of Murder,1964,Pigs Pimps & Prostitutes: 3 Films of Shohei Imamura,150,Japanese,1.9403,7,51,7.6,NA,49571,intentions-of-murder-1964
473,The Insect Woman,1963,Pigs Pimps & Prostitutes: 3 Films of Shohei Imamura,123,Japanese,1.622,7.2,73,7.4,NA,42984,the-insect-woman-1963
472,Pigs and Battleships,1961,Pigs Pimps & Prostitutes: 3 Films of Shohei Imamura,108,Japanese,1.9039,7.1,63,7.4,NA,31104,pigs-and-battleships-1961
470,Wise Blood,1979,Standalone,106,English,1.0418,6.4,101,6.9,84,42179,wise-blood-1979
469,The Hit,1984,Standalone,98,English,1.7197,6.5,227,7,75,19621,the-hit-1984
468,Bluebeard,1936,Science Is Fiction: 23 Films by Jean Painlevé,13,French,0.8845,6,20,6.3,NA,148243,bluebeard-1936
468,Similarities Between Length and Speed,1937,Science Is Fiction: 23 Films by Jean Painlevé,10,English,0.4428,5.8,13,6.1,NA,163368,similarities-between-length-and-speed-1937
468,Voyage to the Sky,1937,Science Is Fiction: 23 Films by Jean Painlevé,11,French,0.5956,6,21,6.6,NA,162686,voyage-to-the-sky-1937
468,The Struggle for Survival,1937,Science Is Fiction: 23 Films by Jean Painlevé,14,English,0.168,6.1,12,5.7,NA,163358,the-struggle-for-survival-1937
468,The Fourth Dimension,1936,Science Is Fiction: 23 Films by Jean Painlevé,10,French,0.2318,6.2,21,6.8,NA,147254,the-fourth-dimension-1936
468,Experimental Treatment of a Hemorrhage in a Dog,1930,Science Is Fiction: 23 Films by Jean Painlevé,4,English,0.0546,5.2,18,4.8,NA,117591,experimental-treatment-of-a-hemorrhage-in-a-dog-1930
468,The Stickleback's Eggs,1925,Science Is Fiction: 23 Films by Jean Painlevé,26,None Spoken,0.0331,5.6,15,5.3,NA,163238,the-sticklebacks-eggs-1925
468,Daphnia,1928,Science Is Fiction: 23 Films by Jean Painlevé,8,None Spoken,0.6621,6.1,22,6.2,NA,147015,daphnia-1928
468,Sea Urchins,1929,Science Is Fiction: 23 Films by Jean Painlevé,10,None Spoken,0.4057,6.326,23,6.4,NA,147211,sea-urchins-1929
468,The Octopus,1928,Science Is Fiction: 23 Films by Jean Painlevé,13,None Spoken,1.4002,6.452,21,6.6,NA,117590,the-octopus-1928
468,Pigeons in the Square,1982,Science Is Fiction: 23 Films by Jean Painlevé,27,French,0.1561,6.2,16,6.3,NA,162784,pigeons-in-the-square-1982
468,Diatoms,1968,Science Is Fiction: 23 Films by Jean Painlevé,17,French,0.5331,6.4,14,6.3,NA,163236,diatoms-1968
468,Sea Ballerinas,1956,Science Is Fiction: 23 Films by Jean Painlevé,13,French,0.1457,6.333,12,6.5,NA,163223,sea-ballerinas-1956
468,Freshwater Assassins,1947,Science Is Fiction: 23 Films by Jean Painlevé,24,French,0.4946,6.3,15,6.5,NA,163806,freshwater-assassins-1947
468,The Vampire,1945,Science Is Fiction: 23 Films by Jean Painlevé,9,French,0.3114,6.487,39,6.6,NA,144694,the-vampire-1945
468,"Acera, or the Witches' Dance",1972,Science Is Fiction: 23 Films by Jean Painlevé,13,French,0.1524,5.941,17,6.6,NA,117596,acera-or-the-witches-dance-1972
468,Shrimp Stories,1964,Science Is Fiction: 23 Films by Jean Painlevé,10,French,0.1943,5.8,17,6.4,NA,163146,shrimp-stories-1964
468,The Love Life of an Octopus,1967,Science Is Fiction: 23 Films by Jean Painlevé,14,French,0.0468,6.7,24,7.1,NA,117595,the-love-life-of-an-octopus-1967
468,The Sea Horse,1935,Science Is Fiction: 23 Films by Jean Painlevé,15,French,0.3684,6.5,29,7.2,NA,117592,the-sea-horse-1935
468,Liquid Crystals,1978,Science Is Fiction: 23 Films by Jean Painlevé,6,French,0.7701,7,22,6.7,NA,146815,liquid-crystals-1978
468,How Some Jellyfish Are Born,1960,Science Is Fiction: 23 Films by Jean Painlevé,14,French,0.3587,6.4,16,6.5,NA,117594,how-some-jellyfish-are-born-1960
468,Sea Urchins,1954,Science Is Fiction: 23 Films by Jean Painlevé,11,French,0.3384,6.2,19,6.9,NA,117593,sea-urchins-1954
468,Hyas and Stenorhynchus,1929,Science Is Fiction: 23 Films by Jean Painlevé,10,None Spoken,0.2619,5.8,26,6.8,NA,117588,hyas-and-stenorhynchus-1929
467,Empire of Passion,1978,Standalone,105,Japanese,2.8494,6.8,130,7,NA,49096,empire-of-passion-1978
466,In the Realm of the Senses,1976,Standalone,105,Japanese,10.2278,6.6,716,6.6,NA,5879,in-the-realm-of-the-senses-1976
465,Dodes'ka-den,1970,AK 100: 25 Films by Akira Kurosawa,140,Japanese,2.8908,7.1,151,7.3,NA,33205,dodeskaden-1970
464,Danton,1983,Standalone,136,French,2.001,6.822,174,7.4,NA,4202,danton-1983
463,General Della Rovere,1959,Standalone,132,Italian,0.936,7.4,144,7.7,NA,43100,general-della-rovere-1959
462,The Last Metro,1980,Standalone,131,French,1.3943,7.2,518,7.3,NA,1716,the-last-metro-1980
461,Hobson's Choice,1954,Standalone,108,English,1.0078,7.4,159,7.7,NA,16410,hobsons-choice-1954
460,Simon of the Desert,1965,Standalone,45,Spanish; Castilian,1.0442,7.6,235,7.8,NA,36265,simon-of-the-desert-1965
459,The Exterminating Angel,1962,Standalone,93,Spanish; Castilian,1.4091,7.933,726,8,NA,29264,the-exterminating-angel-1962
458,El Norte,1983,Standalone,141,Spanish; Castilian,1.5635,7.051,78,7.7,75,17435,el-norte-1983
457,Magnificent Obsession,1954,Standalone,108,English,1.3795,6.8,134,7,77,13457,magnificent-obsession-1954
456,The Taking of Power by Louis XIV,1966,Standalone,95,French,0.729,7.173,49,7.1,NA,69912,the-taking-of-power-by-louis-xiv-1966
455,White Dog,1982,Standalone,90,English,1.7722,6.632,291,7,NA,47955,white-dog-1982
454,Europa,1991,Lars von Trier’s Europe Trilogy,113,German,1.8649,7.35,356,7.5,69,9065,europa-1991
453,Chungking Express,1994,World of Wong Kar-wai,103,Cantonese,7.4575,8,2139,7.9,78,11104,chungking-express-1994
452,The Spy Who Came In from the Cold,1965,Standalone,112,English,1.873,7.1,327,7.5,NA,13580,the-spy-who-came-in-from-the-cold-1965
451,Fan-Fan the Tulip,1952,Standalone,102,French,0.8249,6.695,123,7.1,NA,62547,fanfan-the-tulip-1952
450,Bottle Rocket,1996,The Wes Anderson Archive,91,English,1.8431,6.696,1171,6.9,67,13685,bottle-rocket-1996
449,Missing,1982,Standalone,123,English,1.8328,7.242,419,7.7,78,15600,missing-1982
448,Le Deuxième Souffle,1966,Standalone,26,French,0.376,0,0,7.9,NA,579412,le-deuxième-souffle-1966
447,Le Doulos,1962,Standalone,108,French,1.7032,7.4,301,7.7,NA,20778,le-doulos-1962
446,An Autumn Afternoon,1962,Standalone,113,Japanese,2.7548,7.87,316,8,91,50759,an-autumn-afternoon-1962
445,The Earrings of Madame de...,1953,Standalone,105,French,1.2142,7.5,252,7.9,NA,27030,the-earrings-of-madame-de-1953
444,Le Plaisir,1952,Standalone,97,French,0.9348,7.508,133,7.6,NA,43360,le-plaisir-1952
