movie_id,country
valley-of-the-dolls-1967,United States of America
blood-simple-1984,United States of America
cat-people-1942,United States of America
the-story-of-the-last-chrysanthemum-1939,Japan
the-immortal-story-1968,France
chimes-at-midnight-1965,Spain
chimes-at-midnight-1965,Switzerland
a-taste-of-honey-1961,United Kingdom
ingrid-bergman-in-her-own-words-2015,Finland
ingrid-bergman-in-her-own-words-2015,Germany
ingrid-bergman-in-her-own-words-2015,Netherlands
ingrid-bergman-in-her-own-words-2015,Sweden
mccabe-mrs-miller-1971,United States of America
the-new-world-2005,United States of America
a-touch-of-zen-1970,Hong Kong
a-touch-of-zen-1970,Taiwan
muriel-or-the-time-of-return-1963,Italy
muriel-or-the-time-of-return-1963,France
the-inlaws-1979,United States of America
clouds-of-sils-maria-2014,France
clouds-of-sils-maria-2014,Germany
clouds-of-sils-maria-2014,Switzerland
clouds-of-sils-maria-2014,United States of America
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964,United Kingdom
